"tag","table","OBJECTID","quadrat","StemTag","lx","ly","dbh_previous","hom","codes_previous","status_previous","status_2022","comment_2022","mortality","census_status","dbh_current","status_current","codes_current","code_choices","notes_current","DBH check","living_status","crown_position","crown_intact","crown_living","fad","fad_choices","liana_load","lean_angle","wounded_main_stem","rotting_trunk","canker_swelling_deformity","dead_with_resprout","crown_check","GlobalID","CreationDate","Creator","EditDate","Editor","species","dbh_previous_mm","numeric_tag","hom_alert","lean_direction","sp","tree_type","NAD83_X","NAD83_Y","personnel_list","personnel","date_measured","multi stemmed","x","y","dbh_if_dead","mort_status"
10668,"old_trees",3150,"0114",1,2.7,9,327,1.3,"NULL","A","A","",1,2,328,"LI","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a8d4e176-b1e1-4a92-beac-873a00680c31","3/30/2023 4:12:53 PM","shuej21","4/14/2023 2:54:49 PM","shuej21","cato",327,NA,NA,NA,"cato","1",747381.9796638,4308775.42823948,"RH","CT,DM,RH","4/14/2023 2:54:29 PM",0,-78.1476646550633,38.8930419619632,NA,"LI"
10669,"old_trees",3151,"0114",1,6.1,12.3,805,1.3,"NULL","A","A","",1,2,811,"LI","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4c0535ac-4556-43af-9338-00ed38c0aa00","3/30/2023 4:12:53 PM","shuej21","4/14/2023 2:54:17 PM","shuej21","cagl",805,NA,NA,NA,"cagl","1",747385.302191293,4308778.80621892,"RH","DM,CT,RH","4/14/2023 2:54:07 PM",0,-78.1476251732186,38.8930714294273,NA,"LI"
10671,"old_trees",3152,"0114",1,6.2,14.5,905,1.3,"NULL","A","AU","",1,2,930,"LI","RT","RT","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c37691cf-4168-47ce-89a3-4ac39c98444c","3/30/2023 4:12:53 PM","shuej21","4/14/2023 2:57:21 PM","shuej21","quru",905,NA,NA,NA,"quru","1",747385.351125705,4308781.00795674,"RH","CT,DM,RH","4/14/2023 2:57:10 PM",0,-78.1476238167617,38.8930912328773,NA,"LI"
10672,"old_trees",3153,"0114",1,0.9,18.3,NA,NA,"DN","D","","stem not sampled, info automatically filled from previous year info",0,1,0,"DN","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35355208-254c-43e6-bb24-672106a552c5","3/30/2023 4:12:53 PM","shuej21","4/13/2023 3:37:42 PM","shuej21","nysy",NA,NA,NA,NA,"nysy","1",747379.964395069,4308784.68396776,"DM","RH,CT,DM","4/13/2023 3:37:37 PM",0,-78.1476845302775,38.8931258343682,NA,"DN"
10673,"old_trees",3154,"0114",1,2.4,18.9,140,1.3,"NULL","A","A","",1,2,149,"LI","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d510f0a1-5c26-442c-8d8e-34e696fa5081","3/30/2023 4:12:53 PM","shuej21","4/14/2023 2:57:35 PM","shuej21","fagr",140,NA,NA,NA,"fagr","1",747381.450071784,4308785.31860522,"CT","DM,RH,CT","4/14/2023 2:57:29 PM",0,-78.1476671910009,38.8931311278226,NA,"LI"
10674,"old_trees",3155,"0114",1,7.1,15.3,152,1.3,"NULL","A","A","",1,2,160,"LI","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"e66ca57b-1f2f-46ce-809c-a12b7105dcbd","3/30/2023 4:12:53 PM","shuej21","4/14/2023 2:57:04 PM","shuej21","fagr",152,NA,NA,NA,"fagr","1",747386.232324278,4308781.82861079,"RH","CT,DM,RH","4/14/2023 2:57:02 PM",0,-78.1476133729509,38.8930983700601,NA,"LI"
10675,"old_trees",3156,"0114",1,12.1,11.5,227,1.3,"NULL","A","A","",1,2,246,"LI","RT","RT","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"beb91afc-4da3-4c36-abff-1b34a876b0dd","3/30/2023 4:12:53 PM","shuej21","4/14/2023 2:56:10 PM","shuej21","fagr",227,NA,NA,NA,"fagr","1",747391.319135656,4308778.14563998,"RH","CT,DM,RH","4/14/2023 2:56:02 PM",0,-78.1475561161513,38.8930637895312,NA,"LI"
10676,"old_trees",3157,"0114",1,15.1,15.5,NA,NA,"DC","D","","",0,1,0,"DN","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9f9e5b26-df03-4a90-8a6d-216b704e9c7f","3/30/2023 4:12:53 PM","shuej21","4/13/2023 3:42:42 PM","shuej21","cagl",NA,NA,NA,NA,"cagl","1",747394.225531069,4308782.2141613,"RH","DM,CT,RH","4/13/2023 3:42:34 PM",0,-78.1475211779835,38.8930995901177,NA,"DN"
10677,"old_trees",3158,"0114",1,17.7,16,146,1.3,"NULL","A","A","",1,2,145,"LI","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42cff20e-04b1-4187-a7c9-ab8ee3c4c8c6","3/30/2023 4:12:53 PM","shuej21","4/14/2023 2:56:31 PM","shuej21","cagl",146,NA,NA,NA,"cagl","1",747396.813231659,4308782.77434488,"RH","CT,DM,RH","4/14/2023 2:56:24 PM",0,-78.147491174262,38.8931039026305,NA,"LI"
10678,"old_trees",3159,"0114",1,18.9,19.3,675,1.3,"NULL","A","A","",1,2,690,"LI","RT","RT","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"500200d7-3edf-4cf9-9c8d-795781e28b4b","3/30/2023 4:12:53 PM","shuej21","4/14/2023 2:56:43 PM","shuej21","litu",675,NA,NA,NA,"litu","1",747397.93635126,4308786.10128588,"RH","DM,CT,RH","4/14/2023 2:56:37 PM",0,-78.1474770401718,38.8931335301809,NA,"LI"
10679,"old_trees",3160,"0114",1,16.2,19.6,53,1.3,"NULL","A","","stem not sampled, info automatically filled from previous year info",0,1,53,"LI","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3730c86a-5b77-4d98-8809-d55a4837b229","3/30/2023 4:12:53 PM","shuej21","4/13/2023 3:45:53 PM","shuej21","caca",53,NA,NA,NA,"caca","1",747395.230117686,4308786.33858704,"DM","RH,CT,DM","4/13/2023 3:45:41 PM",0,-78.1475081218708,38.8931364282628,NA,"LI"
12001,"old_trees",5673,"0117",1,0.7,0.9,593,1.3,"NULL","A","A","",1,2,611,"LI","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4c156b22-1106-404b-b2d2-25b70ab6f859","3/30/2023 4:12:53 PM","shuej21","4/14/2023 3:32:12 PM","shuej21","litu",593,NA,NA,NA,"litu","1",747378.776159061,4308827.26786255,"CT","KB,CT","4/14/2023 3:32:00 PM",0,-78.1476828719637,38.893509438588,NA,"LI"
12002,"old_trees",5683,"0117",1,4.1,1.5,64,1.3,"NULL","A","","stem not sampled, info automatically filled from previous year info",0,1,70,"LI","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75e0dd7c-4018-4f59-88a6-9cb383e5c033","3/30/2023 4:12:53 PM","shuej21","4/14/2023 3:36:05 PM","shuej21","caca",64,NA,NA,NA,"caca","1",747382.161324179,4308827.94658865,"CT","KB,CT","4/14/2023 3:36:00 PM",0,-78.147643642547,38.8935145935769,NA,"LI"
12003,"old_trees",5694,"0117",1,4.6,3.5,426,1.3,"NULL","A","AU","",1,2,437,"LI","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2f65ec62-1267-478e-8a38-b640ebf874b9","3/30/2023 4:12:53 PM","shuej21","4/14/2023 3:35:15 PM","shuej21","caco",426,NA,NA,NA,"caco","1",747382.614791025,4308829.95765002,"KB","CT,KB","4/14/2023 3:35:11 PM",0,-78.1476376948022,38.8935325664731,NA,"LI"
12004,"old_trees",5705,"0117",1,6,1,NA,NA,"DC","D","","stem not sampled, info automatically filled from previous year info",0,1,0,"DN","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15e05bc8-3609-4a32-948c-57b3bf28ca2b","3/30/2023 4:12:53 PM","shuej21","4/14/2023 3:34:40 PM","shuej21","litu",NA,NA,NA,NA,"litu","1",747384.072412459,4308827.49080188,"CT","KB,CT","4/14/2023 3:34:37 PM",0,-78.1476217964247,38.8935099531757,NA,"DN"
12005,"old_trees",5716,"0117",1,10.9,3.2,248,1.3,"NULL","A","A","",1,2,248,"LI","B","B","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"f6d2a997-bf58-46d9-81a3-f5ec93b719e1","3/30/2023 4:12:53 PM","shuej21","4/14/2023 3:37:50 PM","shuej21","litu",248,NA,NA,NA,"litu","1",747388.920055,4308829.8038963,"KB","CT,KB","4/14/2023 3:37:45 PM",0,-78.1475651325095,38.8935294069157,NA,"LI"
12006,"old_trees",5727,"0117",1,5.5,9,76,1.3,"NULL","A","","stem not sampled, info automatically filled from previous year info",0,1,80,"LI","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"896892c4-b545-4b11-94c7-058181952c4c","3/30/2023 4:12:53 PM","shuej21","4/14/2023 3:41:11 PM","shuej21","caca",76,NA,NA,NA,"caca","1",747383.386952694,4308835.47704911,"CT","KB,CT","4/14/2023 3:41:07 PM",0,-78.1476268126111,38.8935820244256,NA,"LI"
12007,"old_trees",5738,"0117",1,2.9,9,264,1.3,"NULL","A","A","",1,2,271,"LI","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9281c8c3-e823-47bd-8155-79d4cca6c51e","3/30/2023 4:12:53 PM","shuej21","4/14/2023 3:40:30 PM","shuej21","caco",264,NA,NA,NA,"caco","1",747380.787652457,4308835.41673096,"KB","CT,KB","4/14/2023 3:40:26 PM",0,-78.1476567705182,38.8935822139021,NA,"LI"
12008,"old_trees",5749,"0117",1,2.4,7.8,53,1.3,"NULL","A","","stem not sampled, info automatically filled from previous year info",0,1,54,"LI","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d9568b59-ac63-48cc-8d46-39eee65aa0ba","3/30/2023 4:12:53 PM","shuej21","4/14/2023 3:34:02 PM","shuej21","nysy",53,NA,NA,NA,"nysy","1",747380.315626409,4308834.20544428,"KB","CT,KB","4/14/2023 3:33:55 PM",0,-78.1476626437024,38.8935714445755,NA,"LI"
12009,"old_trees",5760,"0117",1,14.1,0.4,443,1.3,"NULL","A","A","",1,2,454,"LI","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aa1c7640-2946-4fbe-8269-24c59f35cdac","3/30/2023 4:12:53 PM","shuej21","4/14/2023 3:38:57 PM","shuej21","litu",443,NA,NA,NA,"litu","1",747392.184152234,4308827.07886763,"CT","KB,CT","4/14/2023 3:38:47 PM",0,-78.1475285225814,38.8935039619722,NA,"LI"
12010,"old_trees",5771,"0117",1,11.6,9.8,NA,NA,"DC","D","","stem not sampled, info automatically filled from previous year info",0,1,0,"DN","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"afb3aa99-b8f4-456a-97f5-e863a43e452f","3/30/2023 4:12:53 PM","shuej21","4/14/2023 3:58:59 PM","shuej21","cagl",NA,NA,NA,NA,"cagl","1",747389.46675174,4308836.41833949,"KB","CT,KB","4/14/2023 3:58:56 PM",0,-78.1475564529861,38.893588784704,NA,"DN"
12011,"old_trees",5782,"0117",1,11,9.8,NA,NA,"DN","D","","stem not sampled, info automatically filled from previous year info",0,1,0,"DN","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22cb9935-d829-478e-9e81-ce9bc64b35ca","3/30/2023 4:12:53 PM","shuej21","4/14/2023 3:59:20 PM","shuej21","amar",NA,NA,NA,NA,"amar","1",747388.866913224,4308836.40441991,"CT","KB,CT","4/14/2023 3:59:17 PM",0,-78.1475633673167,38.893588828752,NA,"DN"
12012,"old_trees",5793,"0117",1,12.3,9.7,119,1.3,"B","A","","stem not sampled, info automatically filled from previous year info",1,2,105,"DS","RT,M","M","Bark missing","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4e9396f1-d79e-49c4-a9ac-e012dc1390e2","3/30/2023 4:12:53 PM","shuej21","4/14/2023 3:58:11 PM","shuej21","litu",119,NA,NA,NA,"litu","1",747390.168882807,4308836.3346259,"CT","KB,CT","4/14/2023 3:58:02 PM",1,-78.1475483977955,38.8935878338316,105,"DS"
12013,"old_trees",5804,"0117",1,11.3,10.9,64,1.3,"NULL","A","","stem not sampled, info automatically filled from previous year info",0,1,70,"LI","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d4c5af1d-1cdf-4634-bc4e-8b301bd2a35c","3/30/2023 4:12:53 PM","shuej21","4/14/2023 3:54:18 PM","shuej21","caca",64,NA,NA,NA,"caca","1",747389.141313261,4308837.51108364,"KB","CT,KB","4/14/2023 3:54:14 PM",0,-78.1475598081921,38.893598712227,NA,"LI"
12014,"old_trees",5814,"0117",1,15.4,14.4,NA,NA,"DC","D","","stem not sampled, info automatically filled from previous year info",0,1,0,"DN","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dcefdfcf-87cc-4835-97ee-09777ac5261c","3/30/2023 4:12:53 PM","shuej21","4/14/2023 4:00:22 PM","shuej21","ceca",NA,NA,NA,NA,"ceca","1",747393.159012266,4308841.10525875,"CT","KB,CT","4/14/2023 4:00:19 PM",0,-78.1475122424105,38.8936299294827,NA,"DN"
12015,"old_trees",5825,"0117",1,16.5,16.4,NA,NA,"DC","D","","stem not sampled, info automatically filled from previous year info",0,1,0,"DN","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c4da8d9e-7792-4b09-a1d7-4fe6df3410a8","3/30/2023 4:12:53 PM","shuej21","4/14/2023 3:53:45 PM","shuej21","ceca",NA,NA,NA,NA,"ceca","1",747394.212317628,4308843.13023969,"CT","KB,CT","4/14/2023 3:53:41 PM",0,-78.1474993821317,38.8936478576025,NA,"DN"
12016,"old_trees",5836,"0117",1,14.6,17.6,140,1.3,"NULL","A","A","",1,2,145,"LI","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30f1d3be-b20d-4db7-9cc5-8e709e72ec95","3/30/2023 4:12:53 PM","shuej21","4/14/2023 3:52:04 PM","shuej21","cagl",140,NA,NA,NA,"cagl","1",747392.284989379,4308844.28585807,"CT","KB,CT","4/14/2023 3:52:01 PM",0,-78.1475211617784,38.8936588024103,NA,"LI"
12017,"old_trees",5847,"0117",1,14.2,16.6,200,1.3,"NULL","A","DS","",1,2,196,"DS","B","B","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72dda008-181a-4df8-9228-7a442c3a5ef7","3/30/2023 4:12:53 PM","shuej21","4/14/2023 3:52:52 PM","shuej21","cato",200,NA,NA,NA,"cato","1",747391.908296327,4308843.27684749,"KB","CT,KB","4/14/2023 3:52:48 PM",0,-78.1475258635597,38.8936498257672,196,"DS"
12018,"old_trees",5858,"0117",1,10.8,19.1,559,1.3,"NULL","A","AU","",1,2,570,"LI","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"b2a4e801-800f-4522-8752-ffdf5528cf56","3/30/2023 4:12:53 PM","shuej21","4/14/2023 3:51:09 PM","shuej21","quve",559,NA,NA,NA,"quve","1",747388.451213173,4308845.69729705,"KB","CT,KB","4/14/2023 3:51:05 PM",0,-78.147564806412,38.8936725851474,NA,"LI"
12019,"old_trees",5869,"0117",1,4.5,12,250,1.3,"NULL","A","A","",1,2,254,"LI","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9d622ec8-e145-437d-be2b-d61334de48bf","3/30/2023 4:12:53 PM","shuej21","4/14/2023 3:42:03 PM","shuej21","litu",250,NA,NA,NA,"litu","1",747382.317623958,4308838.4530424,"KB","CT,KB","4/14/2023 3:41:50 PM",0,-78.1476380568183,38.8936091109923,NA,"LI"
12020,"old_trees",5880,"0117",1,6.5,14.4,NA,NA,"DN","D","","",0,1,0,"DN","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"eb6284bf-d92e-42a9-87a8-6b7cffa7e229","3/30/2023 4:12:53 PM","shuej21","4/14/2023 3:46:37 PM","shuej21","ceca",NA,NA,NA,NA,"ceca","1",747384.26140761,4308840.89878505,"CT","KB,CT","4/14/2023 3:46:34 PM",0,-78.1476147886617,38.8936305762192,NA,"DN"
12021,"old_trees",5890,"0117",1,10,13.4,NA,NA,"DC","D","","stem not sampled, info automatically filled from previous year info",0,1,0,"DN","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a52ca884-839b-4e0a-922b-741d7c700a7c","3/30/2023 4:12:53 PM","shuej21","4/14/2023 3:59:40 PM","shuej21","casp",NA,NA,NA,NA,"casp","1",747387.783664912,4308839.98025172,"KB","CT,KB","4/14/2023 3:59:38 PM",0,-78.1475745540315,38.8936213178052,NA,"DN"
12022,"old_trees",5901,"0117",1,6.9,19,53,1.3,"NULL","A","","",0,1,56,"LI","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"e88c28bd-5546-49fb-9fe9-9059ae1b4a5c","3/30/2023 4:12:53 PM","shuej21","4/14/2023 3:50:14 PM","shuej21","cato",53,NA,NA,NA,"cato","1",747384.554582979,4308845.50683673,"CT","KB,CT","4/14/2023 3:50:08 PM",0,-78.1476097518068,38.8936719670831,NA,"LI"
