censusType,errorName,tag,StemTag,quadrat,sp,NAD83_X,NAD83_Y,x,y,lx,ly,dbh_previous,hom,codes_previous,status_previous,status_2022,comment_2022,dbh_current,status_current,codes_current,notes_current,census_status,mortality,mort_status,crown_position,crown_intact,crown_living,fad,liana_load,wounded_main_stem,rotting_trunk,canker_swelling_deformity,lean_angle,dead_with_resprout,dbh_if_dead,personnel,date_measured
both,suspiciousPositiveGrowth,13318,1,0102,acne,747388.898398548,4308537.62474685,-78.1476706478584,38.8908997033374,4.1,11.1,14,1.3,NULL,A,"","",31,LI,"","",1,0,LI,,,,,,,,,,,,"CT,RH",4/11/2023 7:31:08 PM
both,suspiciousPositiveGrowth,13319,1,0102,acne,747389.77727696,4308538.54538399,-78.1476601941661,38.8909077427047,5,12,13,1.3,M,A,"","",25,LI,"","",1,0,LI,,,,,,,,,,,,"CT,RH",4/11/2023 7:53:41 PM
both,suspiciousPositiveGrowth,13342,1,0102,acne,747403.433718687,4308531.96043149,-78.147505293222,38.8908446303519,18.5,5.1,31,1.3,NULL,A,"","",67,LI,"","",1,0,LI,,,,,,,,,,,,"KB,IK",4/11/2023 7:34:41 PM
both,suspiciousPositiveGrowth,13615,1,0125,ulru,747381.342561704,4309005.475374,-78.1475891075384,38.8951126414791,7.4,19,19,1.3,NULL,A,"","",45,LI,"","",1,0,LI,,,,,,,,,,,,"KB,CT",4/18/2023 7:59:07 PM
both,suspiciousPositiveGrowth,13629,1,0127,libe,747382.099996784,4309041.8027231,-78.1475672946327,38.8954393862092,9,15.3,20,1.3,M,A,"","",39,LI,M,"",1,0,LI,,,,,,,,,,,,IK,4/26/2023 2:49:33 PM
both,suspiciousPositiveGrowth,13686,1,0127,libe,747383.389934924,4309033.63044926,-78.1475438001069,38.895362631119,10.1,7.1,14,1.3,M,A,"","",27,LI,"","",1,0,LI,,,,,,,,,,,,KB,4/25/2023 2:15:08 PM
both,suspiciousPositiveGrowth,13726,1,0128,libe,747378.538516816,4309048.72196153,-78.1475947974409,38.8955024658091,5.6,2.3,11,1.3,NULL,A,"","",22,LI,M,"",1,0,LI,,,,,,,,,,,,"RH,CT",4/26/2023 4:00:13 PM
both,suspiciousPositiveGrowth,13734,1,0127,libe,747386.99382201,4309037.81518317,-78.1475129223228,38.8954000148271,13.8,11.2,13,1.3,NULL,A,"","",25,LI,"","",1,0,LI,,,,,,,,,,,,KB,4/26/2023 2:35:42 PM
both,suspiciousPositiveGrowth,13740,1,0127,libe,747391.245617733,4309027.01091396,-78.1474672933165,38.895303679896,17.8,0.3,11,1.3,NULL,A,"","",24,LI,M,"",1,0,LI,,,,,,,,,,,,KB,4/25/2023 5:39:53 PM
both,suspiciousPositiveGrowth,13752,1,0128,libe,747380.300913498,4309050.36328963,-78.1475809041002,38.89551692077,7.4,3.9,13,1.3,NULL,A,"","",27,LI,"","",1,0,LI,,,,,,,,,,,,"RH,CT",4/26/2023 2:54:07 PM
both,suspiciousPositiveGrowth,13756,1,0128,libe,747377.415613578,4309049.69617316,-78.147593030453,38.8955382518837,4.5,3.3,13,1.3,NULL,A,"","",49,LI,"","",1,0,LI,,,,,,,,,,,,"RH,CT",4/26/2023 3:15:16 PM
both,suspiciousPositiveGrowth,13876,1,0129,libe,747376.879926066,4309077.09111866,-78.147614700492,38.8957584632675,4.6,10.7,14,1.3,NULL,A,"","",36,LI,"","",1,0,LI,,,,,,,,,,,,IK,4/27/2023 2:37:41 PM
both,suspiciousPositiveGrowth,43507,1,0411,libe,747451.911399599,4308718.83537485,-78.1468796625286,38.8925129158574,11.3,10.8,18,1.3,M,A,"","",35,LI,"","",1,0,LI,,,,,,,,,,,,IK,5/3/2023 7:42:52 PM
both,suspiciousPositiveGrowth,53211,1,0511,libe,747476.994932212,4308711.21524416,-78.146593529441,38.892437266497,16.2,2.6,14,1.3,NULL,A,"","",28,LI,"","",1,0,LI,,,,,,,,,,,,KB,5/3/2023 3:03:08 PM
both,suspiciousPositiveGrowth,53813,1,0511,libe,747477.634641786,4308718.13194653,-78.1465654418216,38.8925035118574,17,9.5,11,1.3,NULL,A,"","",23,LI,M,"",1,0,LI,,,,,,,,,,,,KB,5/3/2023 3:27:44 PM
both,suspiciousPositiveGrowth,53819,1,0513,astr,747475.922908795,4308753.10164727,-78.1465907796749,38.8928145601572,16.1,4.5,13,1.3,M,A,"","",25,LI,"","",1,0,LI,,,,,,,,,,,,KB,5/3/2023 7:25:35 PM
both,suspiciousPositiveGrowth,62475,1,0613,libe,747480.793966991,4308758.71616346,-78.1465326568943,38.8928637207582,1.1,10,13,1.3,NULL,A,"","",26,LI,M,"",1,0,LI,,,,,,,,,,,,CT,5/4/2023 2:21:55 PM
both,suspiciousPositiveGrowth,10132,6,0101,libe,747403.382464114,4308529.85867676,-78.1475066397974,38.8908257289399,18.4,3,13,1.3,S,alive,"","",25,LI,"",Double white wire,1,0,LI,,,,,,,,,,,,"IK,KB",4/11/2023 5:24:22 PM
both,suspiciousPositiveGrowth,10132,6,0101,libe,747403.382464114,4308529.85867676,-78.1475066397974,38.8908257289399,18.4,3,,1.3,S,alive,"","",25,LI,"",Double white wire,1,0,LI,,,,,,,,,,,,"IK,KB",4/11/2023 5:24:22 PM
both,suspiciousPositiveGrowth,12186,5,0101,havi,747380.381347375,4308939.13522974,-78.1476240816743,38.8945158285534,4.9,12.7,27,1.3,S,alive,"","",60,LI,"","Added green wire,stem tag 5",1,0,LI,,,,,,,,,,,,"KB,CT",4/18/2023 5:13:40 PM
both,suspiciousPositiveGrowth,12186,8,0101,havi,747380.381347375,4308939.13522974,-78.1476240816743,38.8945158285534,4.9,12.7,18,1.3,S,alive,"","",36,LI,"",Given fishing line and stem tag 8,1,0,LI,,,,,,,,,,,,"KB,CT",4/18/2023 5:13:40 PM
both,suspiciousPositiveGrowth,12186,5,0101,havi,747380.381347375,4308939.13522974,-78.1476240816743,38.8945158285534,4.9,12.7,,1.3,S,alive,"","",60,LI,"","Added green wire,stem tag 5",1,0,LI,,,,,,,,,,,,"KB,CT",4/18/2023 5:13:40 PM
both,suspiciousPositiveGrowth,12186,8,0101,havi,747380.381347375,4308939.13522974,-78.1476240816743,38.8945158285534,4.9,12.7,,1.3,S,alive,"","",36,LI,"",Given fishing line and stem tag 8,1,0,LI,,,,,,,,,,,,"KB,CT",4/18/2023 5:13:40 PM
both,suspiciousPositiveGrowth,13010,6,0101,libe,747399.376364755,4308525.76463622,-78.1475542513934,38.8907900083147,14.3,19,16,1.3,J;S,alive,"","",33,LI,M,Missing 2018 wire so recorded as next largest; double white wire,1,0,LI,,,,,,,,,,,,"IK,CT",4/10/2023 2:51:38 PM
both,suspiciousPositiveGrowth,13010,7,0101,libe,747399.376364755,4308525.76463622,-78.1475542513934,38.8907900083147,14.3,19,13,1.3,S,alive,"","",26,LI,"P,M",Double blue wire,1,0,LI,,,,,,,,,,,,"IK,CT",4/10/2023 2:51:38 PM
both,suspiciousPositiveGrowth,13010,6,0101,libe,747399.376364755,4308525.76463622,-78.1475542513934,38.8907900083147,14.3,19,,1.3,J;S,alive,"","",33,LI,M,Missing 2018 wire so recorded as next largest; double white wire,1,0,LI,,,,,,,,,,,,"IK,CT",4/10/2023 2:51:38 PM
both,suspiciousPositiveGrowth,13010,7,0101,libe,747399.376364755,4308525.76463622,-78.1475542513934,38.8907900083147,14.3,19,,1.3,S,alive,"","",26,LI,"P,M",Double blue wire,1,0,LI,,,,,,,,,,,,"IK,CT",4/10/2023 2:51:38 PM
both,suspiciousPositiveGrowth,13012,7,0101,libe,747398.904338475,4308524.55335954,-78.1475601245775,38.8907792399632,13.8,17.8,16,1.3,S,alive,"","",33,LI,"",Added double blue wire,1,0,LI,,,,,,,,,,,,"IK,CT",4/10/2023 4:08:08 PM
both,suspiciousPositiveGrowth,13012,7,0101,libe,747398.904338475,4308524.55335954,-78.1475601245775,38.8907792399632,13.8,17.8,,1.3,S,alive,"","",33,LI,"",Added double blue wire,1,0,LI,,,,,,,,,,,,"IK,CT",4/10/2023 4:08:08 PM
both,suspiciousPositiveGrowth,13076,3,0101,libe,747392.65518483,4308530.91009445,-78.1476298014789,38.8908382117222,7.7,4.3,14,1.3,S,alive,"","",30,LI,"","",1,0,LI,,,,,,,,,,,,"RH,CT",4/11/2023 6:38:17 PM
both,suspiciousPositiveGrowth,13076,3,0101,libe,747392.65518483,4308530.91009445,-78.1476298014789,38.8908382117222,7.7,4.3,,1.3,S,alive,"","",30,LI,"","",1,0,LI,,,,,,,,,,,,"RH,CT",4/11/2023 6:38:17 PM
both,suspiciousPositiveGrowth,13134,3,0101,elum,747393.340240383,4308885.02128267,-78.1474943317809,38.8940251371411,16.6,18.3,20,1.3,S,alive,"","",45,LI,"","",1,0,LI,,,,,,,,,,,,"RH,IK",4/18/2023 2:04:00 PM
both,suspiciousPositiveGrowth,13134,4,0101,elum,747393.340240383,4308885.02128267,-78.1474943317809,38.8940251371411,16.6,18.3,17,1.3,S,alive,"","",33,LI,"","",1,0,LI,,,,,,,,,,,,"RH,IK",4/18/2023 2:04:00 PM
both,suspiciousPositiveGrowth,13134,3,0101,elum,747393.340240383,4308885.02128267,-78.1474943317809,38.8940251371411,16.6,18.3,,1.3,S,alive,"","",45,LI,"","",1,0,LI,,,,,,,,,,,,"RH,IK",4/18/2023 2:04:00 PM
both,suspiciousPositiveGrowth,13134,4,0101,elum,747393.340240383,4308885.02128267,-78.1474943317809,38.8940251371411,16.6,18.3,,1.3,S,alive,"","",33,LI,"","",1,0,LI,,,,,,,,,,,,"RH,IK",4/18/2023 2:04:00 PM
both,suspiciousPositiveGrowth,13189,3,0101,elum,747376.745630137,4308949.25358693,-78.1476623085653,38.8946079213475,1.5,2.9,12,1.3,S,alive,"","",25,LI,"","",1,0,LI,,,,,,,,,,,,"IK,RH",4/18/2023 5:06:17 PM
both,suspiciousPositiveGrowth,13189,3,0101,elum,747376.745630137,4308949.25358693,-78.1476623085653,38.8946079213475,1.5,2.9,,1.3,S,alive,"","",25,LI,"","",1,0,LI,,,,,,,,,,,,"IK,RH",4/18/2023 5:06:17 PM
both,suspiciousPositiveGrowth,13198,2,0101,libe,747380.775476069,4309055.77574585,-78.1475775147546,38.8955655208809,8,9.3,13,1.3,S,alive,"","",27,LI,"","",1,0,LI,,,,,,,,,,,,"RH,CT",4/27/2023 3:10:43 PM
both,suspiciousPositiveGrowth,13198,2,0101,libe,747380.775476069,4309055.77574585,-78.1475775147546,38.8955655208809,8,9.3,,1.3,S,alive,"","",27,LI,"","",1,0,LI,,,,,,,,,,,,"RH,CT",4/27/2023 3:10:43 PM
both,suspiciousPositiveGrowth,13309,2,0101,libe,747401.873155845,4308521.62144491,-78.1475269893319,38.8907520152735,16.7,14.8,11,1.3,S,alive,"","",29,LI,"","",1,0,LI,,,,,,,,,,,,"CT,IK",4/10/2023 5:32:15 PM
both,suspiciousPositiveGrowth,13309,2,0101,libe,747401.873155845,4308521.62144491,-78.1475269893319,38.8907520152735,16.7,14.8,,1.3,S,alive,"","",29,LI,"","",1,0,LI,,,,,,,,,,,,"CT,IK",4/10/2023 5:32:15 PM
both,suspiciousPositiveGrowth,13519,2,0109,elum,747383.568613073,4308887.99539828,-78.1476057991965,38.8940546566406,6.9,1.5,15,1.3,S,alive,"","",34,LI,M,White,2,0,LI,,,,,,,,,,,,"KB,CT",4/14/2023 5:43:06 PM
both,suspiciousPositiveGrowth,13519,2,0109,elum,747383.568613073,4308887.99539828,-78.1476057991965,38.8940546566406,6.9,1.5,,1.3,S,alive,"","",34,LI,M,White,2,0,LI,,,,,,,,,,,,"KB,CT",4/14/2023 5:43:06 PM
both,suspiciousPositiveGrowth,13619,2,0101,elum,747375.76494825,4309004.4457002,-78.1476537170491,38.895104944477,1.8,18.1,13,1.3,S,alive,"","",50,LI,"","",1,0,LI,,,,,,,,,,,,"KB,CT",4/18/2023 7:27:49 PM
both,suspiciousPositiveGrowth,13619,2,0101,elum,747375.76494825,4309004.4457002,-78.1476537170491,38.895104944477,1.8,18.1,,1.3,S,alive,"","",50,LI,"","",1,0,LI,,,,,,,,,,,,"KB,CT",4/18/2023 7:27:49 PM
both,suspiciousPositiveGrowth,13659,4,0101,libe,747385.764202029,4309043.38815677,-78.1475245222612,38.8954526239578,12.7,16.8,11,1.3,S,alive,"","",32,LI,"","",1,0,LI,,,,,,,,,,,,KB,4/25/2023 7:00:35 PM
both,suspiciousPositiveGrowth,13659,4,0101,libe,747385.764202029,4309043.38815677,-78.1475245222612,38.8954526239578,12.7,16.8,,1.3,S,alive,"","",32,LI,"","",1,0,LI,,,,,,,,,,,,KB,4/25/2023 7:00:35 PM
both,suspiciousPositiveGrowth,13755,3,0101,libe,747380.163821544,4309051.96053908,-78.1475891030203,38.8955313470638,7.3,5.5,14,1.3,S,alive,"","",28,LI,"","",1,0,LI,,,,,,,,,,,,"RH,CT",4/26/2023 3:06:10 PM
both,suspiciousPositiveGrowth,13755,3,0101,libe,747380.163821544,4309051.96053908,-78.1475891030203,38.8955313470638,7.3,5.5,,1.3,S,alive,"","",28,LI,"","",1,0,LI,,,,,,,,,,,,"RH,CT",4/26/2023 3:06:10 PM
both,suspiciousPositiveGrowth,13878,2,0101,libe,747376.082461307,4309076.97258614,-78.1476239270855,38.895757620793,3.8,10.6,12,1.3,S,alive,"","",25,LI,"","",1,0,LI,,,,,,,,,,,,IK,4/27/2023 2:52:08 PM
both,suspiciousPositiveGrowth,13878,2,0101,libe,747376.082461307,4309076.97258614,-78.1476239270855,38.895757620793,3.8,10.6,,1.3,S,alive,"","",25,LI,"","",1,0,LI,,,,,,,,,,,,IK,4/27/2023 2:52:08 PM
both,suspiciousPositiveGrowth,50610,5,0512,libe,747478.021479078,4308735.94571527,-78.1465727936217,38.892659559863,17.8,7.3,10,1.3,S,alive,"","",20,LI,"","",1,0,LI,,,,,,,,,,,,KB,5/3/2023 5:38:21 PM
both,suspiciousPositiveGrowth,50610,5,0512,libe,747478.021479078,4308735.94571527,-78.1465727936217,38.892659559863,17.8,7.3,,1.3,S,alive,"","",20,LI,"","",1,0,LI,,,,,,,,,,,,KB,5/3/2023 5:38:21 PM
both,CodeAButHOM1.3,12443,1,0130,cato,747384.91575657,4309092.88178414,-78.1475164589574,38.8958983216425,13,6.3,39,1.3,NULL,A,"","",28,LI,"DV,A","",1,0,LI,,,,,,,,,,,,KB,5/1/2023 4:22:48 PM
both,CodeAButHOM1.3,12593,1,0132,litu,747384.220425741,4309135.77721782,-78.1475090119016,38.8962845900076,13.3,9.2,445,1.3,NULL,A,A,"",439,LI,"DV,A",Last census measured over irregular growth,2,1,LI,,,,,,,,,,,,KB,5/2/2023 3:04:01 PM
both,CodeAButHOM1.3,12631,1,0132,astr,747388.903137411,4309140.88722873,-78.1474532382149,38.8963292632005,18.1,14.2,48,1.3,NULL,A,"","",50,LI,A,"",1,0,LI,,,,,,,,,,,,CT,5/2/2023 6:41:12 PM
both,CodeAButHOM1.3,13224,1,0129,libe,747375.775150232,4309068.66321036,-78.1476279263889,38.8956779338126,3.3,2.3,28,1.3,M,A,"","",26,LI,"A,M","",1,0,LI,,,,,,,,,,,,KB,4/27/2023 2:50:48 PM
both,CodeAButHOM1.3,20789,1,0214,litu,747415.859156678,4308781.01571354,-78.1472724588139,38.893082711312,16.7,13.8,330,1.3,I,A,AU,"",306,LI,A,"",2,1,LI,,,,,,,,,,,,DM,5/4/2023 5:24:45 PM
both,CodeAButHOM1.3,22001,1,0217,caca,747398.292006329,4308831.12165359,-78.1474567229556,38.893538628979,0.3,4.3,126,1.3,I,A,AU,"",103,LI,"DV,A",@ 1.30 has many tumors,2,1,LI,,,,,,,,,,,,DM,5/5/2023 2:11:34 PM
both,CodeAButHOM1.3,40947,1,0414,caca,747451.235277292,4308773.83448173,-78.1468676277711,38.8930081162126,11.9,5.8,83,1.3,NULL,A,"","stem not sampled, info automatically filled from previous year info",90,LI,"B,A",Irregular at 1.3,1,0,LI,,,,,,,,,,,,IK,5/8/2023 5:56:56 PM
both,CodeAButHOM1.3,50537,1,0513,litu,747460.87337139,4308750.75187625,-78.146764946786,38.8927976505363,1,2.5,252,1.3,NULL,A,A,"",251,LI,A,Previous census measured over irregular growth,2,1,LI,,,,,,,,,,,,KB,5/3/2023 6:31:24 PM
both,CodeAButHOM1.3,52005,1,0517,caca,747463.962507836,4308828.84455987,-78.1467012265632,38.8934996403613,5.9,0.5,113,1.3,J,A,AU,"",123,LI,A,"",2,1,LI,,,,,,,,,,,,KB,5/8/2023 5:46:01 PM
both,CodeAButHOM1.3,53858,1,0516,fagr,747469.260216872,4308811.76286561,-78.1466463700689,38.8933444073378,10.8,3.3,37,1.3,M,A,"","",63,LI,A,1.3 inaccessible - crushed by tree 50666,1,0,LI,,,,,,,,,,,,KB,5/5/2023 3:32:41 PM
both,CodeAButHOM1.3,60463,1,0615,juni,747486.010752145,4308796.84745183,-78.1464588324471,38.8932054458573,7.2,8,491,1.3,NULL,A,A,"",510,LI,A,"",2,1,LI,,,,,,,,,,,,CT,5/5/2023 2:15:27 PM
both,CodeAButHOM1.3,60582,1,0615,quru,747498.756268482,4308799.34382066,-78.1463111449673,38.8932243228584,20,10.2,293,1.3,NULL,A,A,"",304,LI,A,"",2,1,LI,,,,,,,,,,,,CT,5/5/2023 3:05:00 PM
both,CodeAButHOM1.3,12079,2,0103,caca,747384.800336852,4308878.02128897,-78.14759520717,38.893964539675,7.9,11.5,78,1.3,S,alive,"","stem not sampled, info automatically filled from previous year info",80,LI,A,POM at 1.25,1,0,LI,,,,,,,,,,,,"RH,IK,DM",4/14/2023 6:16:00 PM
both,CodeAButHOM1.3,12079,2,0103,caca,747384.800336852,4308878.02128897,-78.14759520717,38.893964539675,7.9,11.5,,1.3,S,alive,"","stem not sampled, info automatically filled from previous year info",80,LI,A,POM at 1.25,1,0,LI,,,,,,,,,,,,"RH,IK,DM",4/14/2023 6:16:00 PM
both,CodeAButHOM1.3,50579,2,0516,caca,747468.751287856,4308816.45232093,-78.1466505409428,38.8933867562353,10.4,8,44,1.3,S,alive,"","",40,LI,"A,DV",Bark irregular at 1.3,1,0,LI,,,,,,,,,,,,KB,5/8/2023 4:01:18 PM
both,CodeAButHOM1.3,50579,2,0516,caca,747468.751287856,4308816.45232093,-78.1466505409428,38.8933867562353,10.4,8,,1.3,S,alive,"","",40,LI,"A,DV",Bark irregular at 1.3,1,0,LI,,,,,,,,,,,,KB,5/8/2023 4:01:18 PM
both,CodeAButHOM1.3,52027,6,0517,havi,747461.536179376,4308847.19319912,-78.1467225570425,38.8936654668668,3.9,18.9,60,1.3,S,alive,"","stem not sampled, info automatically filled from previous year info",42,LI,A,Bark split where previously measured,1,0,LI,,,,,,,,,,,,KB,5/8/2023 6:29:36 PM
both,CodeAButHOM1.3,52027,6,0517,havi,747461.536179376,4308847.19319912,-78.1467225570425,38.8936654668668,3.9,18.9,,1.3,S,alive,"","stem not sampled, info automatically filled from previous year info",42,LI,A,Bark split where previously measured,1,0,LI,,,,,,,,,,,,KB,5/8/2023 6:29:36 PM
both,deadButNowAlive,10111,1,0101,libe,747402.100292775,4308507.52291985,-78.147529453418,38.8906250602826,16.6,0.7,,1.3,DN,G,"","stem not sampled, info automatically filled from previous year info",53,LI,"","",1,0,LI,,,,,,,,,,,,RH,4/10/2023 3:01:44 PM
both,deadButNowAlive,10133,1,0102,libe,747400.111407556,4308532.88360469,-78.1475432218776,38.8908538751438,15.2,6.1,,,DN,G,"","stem not sampled, info automatically filled from previous year info",45,LI,DV,It is really alive,1,0,LI,,,,,,,,,,,,"IK,KB",4/11/2023 5:27:12 PM
both,deadButNowAlive,12194,1,0123,havi,747378.203251571,4308946.78673879,-78.1476464083911,38.8945853083925,2.9,0.4,,,DN,G,"","",65,LI,DV,It’s very much alive,1,0,LI,,,,,,,,,,,,"RH,IK",4/18/2023 3:48:00 PM
both,deadButNowAlive,12204,1,0123,havi,747383.490657514,4308956.01189572,-78.1475821896428,38.8946668493706,8.4,9.5,,1.3,DC,G,"","",39,LI,"","",1,0,LI,,,,,,,,,,,,"RH,IK",4/18/2023 6:59:42 PM
both,deadButNowAlive,12225,1,0123,caca,747381.484451905,4308960.56658902,-78.1476036539789,38.894708408129,6.5,14.1,,,DC,G,"","stem not sampled, info automatically filled from previous year info",118,LI,P,"",2,0,LI,,,,,,,,,,,,"KB,IK",4/20/2023 2:37:01 PM
both,deadButNowAlive,12233,1,0124,havi,747387.722654528,4308967.61319742,-78.1475292690009,38.8947700732764,12.9,1,,,DC,G,"","stem not sampled, info automatically filled from previous year info",112,LI,"DV,M","",2,0,LI,,,,,,,,,,,,DM,4/18/2023 6:52:02 PM
both,deadButNowAlive,12263,1,0125,fram,747393.05985987,4308996.24472269,-78.1474574837342,38.8950262628427,18.9,9.5,,1.3,DS,D,AU,"",115,LI,DV,"",2,1,LI,,,,,,,,,,,,"KB,CT",4/18/2023 6:35:04 PM
both,deadButNowAlive,12588,1,0132,astr,747386.919699064,4309135.83985591,-78.1474779005579,38.896284394246,16,9.2,,1.3,DS,D,"","",31,LI,"","",1,0,LI,,,,,,,,,,,,KB,5/2/2023 2:57:03 PM
both,deadButNowAlive,12594,1,0132,astr,747384.243625033,4309134.77748696,-78.1475036426737,38.8962701142278,13.3,8.2,,1.3,DT,D,"","",28,LI,"","",1,0,LI,,,,,,,,,,,,KB,5/2/2023 3:49:25 PM
both,deadButNowAlive,13011,1,0101,libe,747398.134712866,4308523.23514999,-78.1475694625628,38.8907675913193,13,16.5,,,DN,D,"","",44,LI,DV,"",1,0,LI,,,,,,,,,,,,"IK,CT",4/10/2023 5:12:31 PM
both,deadButNowAlive,14037,1,0132,astr,747390.377214712,4309142.02172161,-78.1474358513274,38.8963390589007,19.6,15.3,14,1.3,L;X,D,"","",16,LI,"","",1,0,LI,,,,,,,,,,,,CT,5/2/2023 2:28:26 PM
both,deadButNowAlive,20742,1,0213,astr,747415.327402889,4308747.89447299,-78.1472905185576,38.8927847598032,15.4,0.7,,,DT,D,"","",0,LI,"R,RT","",1,0,LI,,,,,,,,,,,,DM,5/4/2023 2:27:02 PM
both,deadButNowAlive,20773,1,0214,litu,747399.714122691,4308769.83816186,-78.1472402416508,38.89298192228,0.3,3,,1.3,DC,D,"","stem not sampled, info automatically filled from previous year info",264,LI,DV,The tree is a live… was bad mapping. In census before,2,0,LI,,,,,,,,,,,,DM,5/4/2023 5:39:33 PM
both,deadButNowAlive,22015,1,0217,caca,747416.410334191,4308830.54182992,-78.1472482662642,38.8935283071071,18.4,3.3,,,DN,G,"","stem not sampled, info automatically filled from previous year info",62,LI,DV,"",1,0,LI,,,,,,,,,,,,DM,5/5/2023 1:44:37 PM
both,deadButNowAlive,22050,1,0218,libe,747406.035308928,4308855.20779527,-78.1473588658952,38.8937532308333,8.6,8.2,,,DN,D,"","",0,LI,R,"",1,0,LI,,,,,,,,,,,,DM,5/8/2023 3:30:26 PM
both,deadButNowAlive,40909,1,0411,libe,747446.393888173,4308710.90523817,-78.1469564262454,38.892440594617,5.6,3,,,DC,G,"","stem not sampled, info automatically filled from previous year info",39,LI,"M,DV","",1,0,LI,,,,,,,,,,,,IK,5/3/2023 1:56:57 PM
both,deadButNowAlive,50611,1,0512,ulru,747478.433186967,4308739.75630219,-78.1465666787893,38.8926937406557,18.3,11.1,,1.3,DC,D,"","stem not sampled, info automatically filled from previous year info",67,LI,DV,"",1,0,LI,,,,,,,,,,,,KB,5/3/2023 5:45:35 PM
both,deadButNowAlive,50632,1,0513,astr,747479.548107737,4308764.98893867,-78.1465510822298,38.892919575251,20,16.3,,1.3,DN,G,"","",60,LI,DV,"",1,0,LI,,,,,,,,,,,,KB,5/4/2023 2:15:24 PM
both,deadButNowAlive,50666,1,0516,acru,747469.508881325,4308809.66808066,-78.1466442608264,38.8933254835182,11,1.2,145,1.2,A,A,DC,"",146,LI,L,"",1,0,LI,,,,,,,,,,,,KB,5/5/2023 3:29:01 PM
both,deadButNowAlive,53120,1,0515,elum,747476.441607531,4308804.02737686,-78.1465664514789,38.8932727623398,17.8,15.4,,1.3,DC,G,"","",39,LI,M,"",1,0,LI,,,,,,,,,,,,KB,5/5/2023 1:18:04 PM
both,deadButNowAlive,53153,1,0515,libe,747460.024925698,4308800.24551361,-78.1467568816857,38.8932433481024,1.3,12,,1.3,DC,G,"","",25,LI,"","Under fallen tree, south of 53811",1,0,LI,,,,,,,,,,,,KB,5/5/2023 2:56:00 PM
both,deadButNowAlive,60496,1,0616,caca,747485.035517594,4308821.63148745,-78.146461131221,38.89342878418,6.8,12.8,,1.3,DC,D,"","",31,LI,"",Alive,1,0,LI,,,,,,,,,,,,CT,5/8/2023 5:26:23 PM
