OBJECTID,quadrat,tag,StemTag,lx,ly,dbh_2018,hom,codes_2018,status_2018,status_2022,comment_2022,mortality,census_status,dbh_2023,status_2023,codes_2023,code_choices,notes_2023,DBH check,living_status,crown_position,crown_intact,crown_living,fad,fad_choices,liana_load,lean_angle,wounded_main_stem,rotting_trunk,canker_swelling_deformity,dead_with_resprout,crown_check,GlobalID,CreationDate,Creator,EditDate,Editor,species,dbh_2018_mm,numeric_tag,hom_alert,lean_direction
12,0101,10015,5,15.6,5.1,,,DC;WR,stem dead,,,0,1,0,DC,,,,,,,,,,,,,,,,,,321b60be-b73e-42e7-8614-d8e2fc29e7b3,3/30/2023 4:12:54 PM,shuej21,4/11/2023 5:30:49 PM,shuej21,,,,,
13,0101,10015,6,15.6,5.1,2.7,0,S,alive,,,0,1,29,LI,,,Double white wire,,,,,,,,,,,,,,,92adf60a-4838-46fc-bad5-af4ef47e2b60,3/30/2023 4:12:54 PM,shuej21,4/11/2023 5:41:26 PM,shuej21,,27,,,
14,0101,10015,7,5.2,4.3,2.3,1.3,S,alive,,,0,1,0,DN,,,,,,,,,,,,,,,,,,70a1f40f-321f-4ca0-a76d-a59b78078118,3/30/2023 4:12:54 PM,shuej21,4/11/2023 5:35:58 PM,shuej21,,23,,,
15,0102,10017,2,8.4,3.9,,,DN,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,eaf32985-9d7f-445c-9e81-e4b3c554a45a,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
16,0102,10017,3,8.4,3.9,,,DN,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,533c53ea-30fc-45f8-8220-e3a61518ba37,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
17,0102,10018,2,7.5,4.7,3,1.3,S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,91b65c7e-56a6-4b46-85ee-f562eb1aea7b,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,30,,,
18,0102,10018,3,7.5,4.7,2.4,1.3,S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,645cfa97-6598-4d85-adb5-ea29ff73c0d9,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,24,,,
19,0102,10018,4,15.6,5.1,,,DS;WR,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,53e3b29c-100f-45ad-b73d-3eb4120b83f4,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
20,0102,10018,5,15.6,5.1,,,DS;WR,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,aa1d506b-00f0-4d1b-a4d3-fe021869b167,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
21,0102,10018,6,15.6,5.1,2.3,0,S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,174cbe70-5b04-4879-a868-569c79336d3f,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,23,,,
22,0102,10022,2,1.5,10.7,,,DS,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,4956af77-42a8-416d-bb8d-f75d2a3db6a6,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
23,0102,10022,3,1.5,10.7,,,DS,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,db7c9b69-e5e0-482c-8781-2c1dcb863dcd,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
24,0102,10022,4,1.5,10.7,,,DS,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,35ec125a-88d9-4651-bb38-4fa14b06274b,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
25,0102,10022,5,1.5,10.7,,,DS,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,e86ae482-4c01-418c-a25b-9ba04ab0ed65,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
26,0102,10022,6,1.5,10.7,,,DS,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,a1c2de58-dc21-4009-b488-fbce29ae2d4d,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
27,0102,10022,7,1.5,10.7,,,DS,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,582da2c6-b889-4bee-a5dd-d685dcf976f4,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
28,0102,10025,2,3,16.2,,,DC,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,94fe8b08-7244-43b2-9776-9298ccf54644,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
29,0102,10025,3,3,16.2,,,DC,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,eb395c39-1acb-47ce-a9bb-43a9d72a4d63,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
30,0102,10025,4,3,16.2,,,DC,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,bdc917d8-3416-4fe8-a5f2-1a2593399dae,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
31,0102,10025,5,3,16.2,,,DC,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,80d9e7d2-76d0-4544-8f76-53c99689f877,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
32,0102,10025,6,3,16.2,,,DC,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,bff256ac-1fe3-4058-a019-2c5b051f62a4,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
33,0102,10025,7,3,16.2,,,DC,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,59b87143-bec5-4154-8475-593a538e8422,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
34,0102,10025,8,3,16.2,,,DC,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,bbb325fe-c6a0-4b2e-a637-ca5b6132cd53,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
35,0102,10025,9,3,16.2,,,DC,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,2a62269b-6461-4f7d-a9d0-91181bd40104,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
36,0102,10025,10,3,16.2,,,DS,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,abd24c5c-b805-48ba-863c-33ee56b8235c,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
37,0102,10026,2,3.6,16.2,,,DC,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,497ae4df-78eb-4b90-84a1-f3fcab00eb5a,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
38,0103,10029,2,5.2,5.2,,,DN,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,4d86b3ee-7d66-480d-861a-ba3f4e3da781,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
39,0103,10029,3,5.2,5.2,,,DN,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,5238b5c9-588f-4535-9811-b7ccc16379fa,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
40,0103,10029,4,5.2,5.2,,,DN,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,35da0cca-a98d-4bd8-937d-6d1780797344,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
41,0103,10029,5,5.2,5.2,,,DN,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,0630cd8e-a712-48bd-a83c-9989edb53a9f,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
42,0103,10029,6,5.2,5.2,,,DN,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,a29bc81a-2a6b-4c10-9021-d936cce685d6,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
43,0103,10030,2,4.4,6.2,1.4,1.3,M,alive,,,0,0,,,,,,,,,,,,,,,,,,,,f63eac19-41c6-4515-b98c-f3e11d63bba9,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,14,,,
44,0103,10032,2,1,10.9,,,DS;WR,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,fb17eb93-0236-4a47-8012-e57eb151178c,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
45,0103,10032,3,1,10.9,,,DN,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,35da3845-d087-4175-b591-5c59542ea8bd,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
46,0103,10033,2,1.3,12.8,,,DC,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,2dd48a29-9729-4ee2-9cc4-cbcc6b9a9d61,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
47,0103,10033,3,1.3,12.8,2.2,1.3,S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,deb9b26e-bfed-4cde-937a-608d5c650622,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,22,,,
48,0103,10033,4,1.3,12.8,1.3,1.3,S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,df311b8a-8c28-40d5-8d46-18eb380937b2,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,13,,,
49,0103,10037,2,8.1,13.6,1.6,1.3,M,alive,,,0,0,,,,,,,,,,,,,,,,,,,,0653b759-f9aa-49a9-a131-b4894542314a,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,16,,,
50,0103,10037,3,8.1,13.6,1.2,1.3,S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,b809b12c-948e-406f-b98f-527d72274b87,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,12,,,
51,0103,10040,2,1.6,17.5,,,DN,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,4d24b391-3f25-45a5-bf65-fee0b3a37068,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
52,0103,10043,2,0.9,19.1,,,DS;WR,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,0401533b-22cf-41d9-a0a4-9a2344e78f0b,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
53,0104,10048,2,0.7,3.4,1.4,1.3,S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,2d721504-c87f-40cb-a0b7-519155e3eb3a,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,14,,,
54,0104,10050,2,0.5,3.8,2.4,1.3,S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,46585be3-5ff7-481b-acb2-9aa3267add27,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,24,,,
55,0104,10050,3,0.5,3.8,1.3,1.3,S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,6bf80f1b-6443-4b51-add7-c12d9386a006,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,13,,,
56,0104,10055,2,6.8,9.3,,,DN,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,d69ff470-ba54-4234-906b-941823d42fbb,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
57,0104,10058,2,6.7,10,7.7,1.3,S,alive,,"stem not sampled, info automatically filled from previous year info",0,0,,,,,,,,,,,,,,,,,,,,483d7c87-a679-48b2-81f3-c75113ee1077,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,77,,,
58,0104,10059,2,6.7,9.4,,,DT,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,71370ace-fca3-4c58-b76f-3757a1a410f6,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
59,0104,10063,2,4.9,9.6,,,DC;WR,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,add4af38-0364-4d2c-9d57-94d28d9a100b,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
60,0104,10063,3,4.9,9.6,,,DN,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,7f06fe49-17fa-4e81-b7ae-1b2aee9693ae,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
61,0104,10064,2,5.2,10.5,3.3,1.3,S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,368effb8-e391-4c37-822d-37b6521251a3,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,33,,,
62,0104,10064,3,5.2,10.5,,,DS;WR,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,94d5ecbe-667f-4dea-933d-e42a8cd94e4d,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
63,0104,10064,4,5.2,10.5,,,DS,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,0921f879-c590-4254-8d93-b76f12fe1401,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
64,0104,10064,5,5.2,10.5,3.1,1.3,S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,9c4dafb8-bed3-419e-9b44-87b7a670720f,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,31,,,
65,0104,10064,6,5.2,10.5,3.1,1.3,S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,041d615d-e9ff-4b98-8dcb-1d5260a38628,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,31,,,
66,0104,10064,7,5.2,10.5,,,DS,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,4a23c880-8725-4d76-bfbc-bb0b6bd0ae2c,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
67,0104,10065,2,6.2,10.8,4.6,1.3,I;S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,95698ec3-a43b-4d0e-9075-fc402119c2d6,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,46,,,
68,0104,10065,3,6.2,10.8,4.2,1.3,S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,b0391778-15fa-448d-9316-846fd53113c4,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,42,,,
69,0104,10065,4,6.2,10.8,2.7,1.3,S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,fa7354ea-da1e-44a6-9a19-436da8071774,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,27,,,
70,0104,10065,5,6.2,10.8,4,1.3,S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,0e2f2e30-ef97-4ef2-a70d-ce03fe8d861d,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,40,,,
71,0104,10065,6,6.2,10.8,3,1.3,S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,d67b07b8-cfe1-4a17-a8ee-c6ecbc04d46c,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,30,,,
72,0104,10065,7,6.2,10.8,3,1.3,S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,18146fd2-9e94-457c-8dac-c89e561a0657,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,30,,,
73,0104,10065,8,6.2,10.8,1.8,1.3,S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,52075fe3-106c-46b1-ac41-f941810253d8,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,18,,,
74,0104,10067,2,3.9,10.5,,,DC,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,2205567c-5f74-48bb-a038-3894bfcb1453,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
75,0104,10067,3,3.9,10.5,3.4,1.3,S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,66b8998d-fe11-424c-bf79-675b11f344b7,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,34,,,
76,0104,10068,2,4.1,10.1,,,DS,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,8dee5fff-8ef9-4548-a95a-34c2fa33feab,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
77,0104,10070,2,6,13.1,,,DT,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,4e91971a-87b6-48cc-ad8e-f92316d16b06,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
78,0104,10070,3,6,13.1,,,DT,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,b7ea7299-3e65-4af1-9d5e-442603a00b6d,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
79,0104,10071,2,4,11.1,3.3,1.3,S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,833366f6-8ce6-4710-9927-360cd9bc47d2,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,33,,,
80,0104,10071,3,4,11.1,,,DN,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,af847078-48cf-411c-b275-ee33333bff4d,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
81,0104,10072,2,4.2,12.5,5.1,1.3,S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,a0d1f242-114f-4ce9-8b52-2c4c8340877e,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,51,,,
82,0104,10072,3,4.2,12.5,5.8,1.3,S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,65c94bfb-f763-4b09-a0a2-d33da25dcfe3,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,58,,,
83,0104,10072,4,4.2,12.5,1.7,1.3,S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,edacd85e-4410-43cb-87f6-c2dae5cc0834,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,17,,,
84,0104,10073,2,4.2,12.5,1.4,1.3,S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,53020810-7540-4d62-9758-51e005b42d87,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,14,,,
85,0104,10073,3,4.2,12.5,,,DS;WR,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,3116f228-fa62-4b23-bcf1-f506e3b2eb70,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
86,0104,10074,2,3.2,11.3,2.9,1.3,S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,c686d256-00b6-4aee-bcf4-647bd621245a,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,29,,,
87,0104,10074,3,3.2,11.3,2.8,1.3,S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,88bfd9db-621a-4a4f-8154-35b0f444027b,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,28,,,
88,0104,10074,4,3.2,11.3,,,DS,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,380e12b8-667e-4b79-8d13-1e6195695238,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
89,0104,10075,2,5.4,11.5,,,DN,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,f655462f-6cdf-4185-81fd-018f4aedeea5,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
90,0104,10076,2,4,11.7,,,DC;WR,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,4da355dd-5548-4645-8738-bbde35428cb3,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
91,0104,10076,3,4,11.7,,,DC;WR,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,8c1c4674-1798-4376-a986-81ec127e91ce,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
92,0104,10079,2,3.7,13,2.3,1.3,S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,1154994f-fc11-4c9c-ab95-ab975a3cdb04,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,23,,,
93,0104,10079,3,3.7,13,1.6,1.3,S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,3182d63b-83a0-4fd5-994d-9859b1fb95eb,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,16,,,
94,0104,10079,4,3.7,13,1.3,1.3,S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,56fdaae6-a659-4315-9a11-5bbf669cac66,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,13,,,
95,0104,10079,5,3.7,13,1.2,1.3,S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,efc8ae94-ed7b-421d-bd95-127a3eabc5b6,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,12,,,
96,0104,10082,2,3.5,15.4,,,DN,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,7b1e1780-585e-4cfd-b27d-40a8f82e74f3,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
97,0104,10082,3,3.5,15.4,2.3,1.3,M,alive,,,0,0,,,,,,,,,,,,,,,,,,,,3de7ad76-073e-47c2-a7a9-fe33d3bfe129,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,23,,,
98,0104,10083,2,2.8,16.7,,,DS,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,4dfc8f02-2248-4f84-8126-eb1f079c0ac1,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
99,0104,10083,3,2.8,16.7,,,DS,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,dbccc178-1b23-4f35-8446-48bcb6450143,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
100,0104,10083,4,2.8,16.7,,,DS,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,f616496f-fd31-4d05-9c13-d6e3900b956b,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
101,0104,10083,5,2.8,16.7,,,DC,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,dbd693d3-54da-4ddc-ae21-d1fb660e14d0,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
102,0104,10083,6,2.8,16.7,,,DS,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,1de8c613-cd55-43da-8621-f0b2390489ca,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
103,0104,10083,7,2.8,16.7,,,DS,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,978bb391-6a6c-499c-9f7c-a98293aae379,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
104,0104,10083,8,2.8,16.7,,,DS,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,6fd58243-860b-4d68-9096-4f8784b693a8,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
